,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60
1,0,0,0,0,0,0,0,0,0,0,0,0,0.188571429,0.615714286,0.794285714,0.868571429,1,1,1,1,1,1,1,1,0.992857143,0.992857143,0.98,0.978571429,0.972857143,0.952857143,0.94,0.925714286,0.92,0.912857143,0.894285714,0.858571429,0.818571429,0.801428571,0.68,0.208571429,0.048571429,0.028571429,0,0,0,0,0,0,0,0,0,0.002857143,0.014285714,0.042857143,0.047142857,0.055714286,0.374285714,0.674285714,0.995714286,0.954285714
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001428571,0.001428571,0.001428571,0.008571429,0.451428571,1,1,1,1,1,0.971428571,0.505714286,0.15,0.08,0.075714286,0.022857143,0,0,0,0,0,0,0,0,0,0.011428571,0.018571429,0.045714286,0.117142857,0.577142857,0.748571429,0.814285714,0.868571429,0.785714286,0.64,0.504285714,0.392857143,0.221428571,0.06,0.025714286,0.024285714,0.015714286,0.014285714,0.014285714,0.014285714,0.012857143
3,0,0,0,0,0,0,0,0,0,0,0,0,0.202857143,0.48,0.675714286,0.767142857,0.812857143,0.954285714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994285714,0.991428571,0.948571429,0.887142857,0.781428571,0.632857143,0.541428571,0.465714286,0.361428571,0.31,0.227142857,0.08,0.017142857,0.001428571,0.052857143,0.075714286,0.107142857,0.132857143,0.142857143,0.152857143,0.232857143,0.651428571,0.84,0.837142857,0.804285714,0.748571429,0.697142857
4,0.028571429,0.028571429,0.04,0.047142857,0.047142857,0.05,0.054285714,0.07,0.081428571,0.162857143,0.265714286,0.324285714,0.461428571,0.557142857,0.678571429,0.787142857,0.828571429,0.904285714,0.95,0.985714286,0.985714286,0.985714286,0.985714286,0.987142857,0.981428571,0.978571429,0.978571429,0.977142857,0.977142857,0.977142857,0.978571429,0.98,0.975714286,0.968571429,0.967142857,0.957142857,0.917142857,0.875714286,0.861428571,0.847142857,0.775714286,0.75,0.712857143,0.687142857,0.635714286,0.602857143,0.594285714,0.577142857,0.557142857,0.505714286,0.445714286,0.398571429,0.37,0.358571429,0.305714286,0.271428571,0.262857143,0.257142857,0.235714286,0.217142857
5,0,0,0,0,0,0,0,0,0,0,0,0.004285714,0.004285714,0.077142857,0.184285714,0.245714286,0.328571429,0.644285714,1,1,1,1,1,1,1,1,1,0.988571429,0.938571429,0.91,0.828571429,0.251428571,0.045714286,0.02,0.02,0.022857143,0.018571429,0.012857143,0.055714286,0.391428571,0.997142857,0.997142857,1,1,0.997142857,0.997142857,0.997142857,0.997142857,0.997142857,0.992857143,0.992857143,0.975714286,0.988571429,0.981428571,0.984285714,0.947142857,0.761428571,0.441428571,0.241428571,0.168571429
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005714286,0.005714286,0.148571429,0.655714286,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.985714286,0.617142857,0.448571429,0.244285714,0.077142857,0.087142857,0.107142857,0.164285714,0.175714286,0.168571429
7,0,0,0,0,0,0,0,0,0,0,0.104285714,0.39,0.565714286,0.715714286,0.894285714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994285714,0.954285714,0.905714286,0.882857143,0.882857143,0.874285714,0.867142857,0.758571429,0.34,0.16,0.091428571,0.001428571,0.001428571,0,0.001428571,0.01,0.017142857,0.034285714,0.175714286,0.19,0.18,0.172857143
8,0,0,0,0,0,0,0,0,0,0,0,0.02,0.027142857,0.031428571,0.538571429,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994285714,0.994285714,0.978571429,0.877142857,0.7,0.692857143,0.675714286,0.674285714,0.664285714,0.65,0.638571429,0.587142857,0.374285714,0.078571429,0.031428571,0.027142857,0.004285714,0.004285714,0.004285714,0.004285714,0.004285714,0,0,0,0,0,0,0,0.001428571,0.025714286,0.052857143,0.051428571
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005714286,0.182857143,0.654285714,1,1,1,1,1,1,1,1,1,1,0.992857143,0.984285714,0.93,0.92,0.91,0.882857143,0.754285714,0.342857143,0.19,0.095714286,0.027142857,0.01,0.01,0.004285714,0.004285714,0,0,0,0,0,0,0,0,0,0,0,0,0.004285714,0.027142857,0.047142857,0.047142857
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381428571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.084285714,1.131428571,1.177142857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992857143,0.67,0.342857143
11,0.11,0.101428571,0.092857143,0.088571429,0.098571429,0.098571429,0.098571429,0.122857143,0.15,0.17,0.18,0.217142857,0.265714286,0.265714286,0.582857143,0.92,0.924285714,0.922857143,0.908571429,0.877142857,0.85,0.784285714,0.747142857,0.734285714,0.7,0.718571429,0.82,0.855714286,0.91,0.917142857,0.872857143,0.761428571,0.645714286,0.558571429,0.53,0.518571429,0.502857143,0.492857143,0.508571429,0.524285714,0.565714286,0.572857143,0.512857143,0.512857143,0.441428571,0.445714286,0.25,0.221428571,0.165714286,0.104285714,0.092857143,0.09,0.124285714,0.138571429,0.14,0.144285714,0.145714286,0.148571429,0.151428571,0.144285714
12,0.365714286,0.35,0.334285714,0.32,0.291428571,0.278571429,0.28,0.284285714,0.302857143,0.308571429,0.33,0.382857143,0.384285714,0.49,0.592857143,0.671428571,0.69,0.684285714,0.691428571,0.698571429,0.692857143,0.674285714,0.685714286,0.658571429,0.764285714,0.807142857,0.825714286,0.837142857,0.844285714,0.844285714,0.825714286,0.827142857,0.792857143,0.83,0.821428571,0.818571429,0.808571429,0.757142857,0.734285714,0.721428571,0.705714286,0.69,0.68,0.668571429,0.662857143,0.644285714,0.628571429,0.622857143,0.608571429,0.6,0.597142857,0.588571429,0.594285714,0.577142857,0.565714286,0.571428571,0.568571429,0.577142857,0.562857143,0.537142857
13,0.218571429,0.172857143,0.164285714,0.131428571,0.127142857,0.135714286,0.135714286,0.138571429,0.164285714,0.165714286,0.191428571,0.271428571,0.474285714,0.54,0.602857143,0.667142857,0.71,0.738571429,0.767142857,0.777142857,0.777142857,0.788571429,0.801428571,0.822857143,0.837142857,0.841428571,0.847142857,0.85,0.834285714,0.797142857,0.811428571,0.824285714,0.848571429,0.875714286,0.888571429,0.905714286,0.904285714,0.871428571,0.878571429,0.892857143,0.885714286,0.861428571,0.811428571,0.827142857,0.815714286,0.822857143,0.837142857,0.841428571,0.814285714,0.807142857,0.821428571,0.824285714,0.86,0.87,0.885714286,0.882857143,0.857142857,0.84,0.818571429,0.798571429
