"","sdY","auc"
"1",0.2,1
"2",0.2,0.99875
"3",0.2,0.99625
"4",0.2,0.99875
"5",0.2,1
"6",0.2,1
"7",0.2,1
"8",0.2,1
"9",0.2,0.99875
"10",0.2,1
"11",0.2,1
"12",0.2,0.99375
"13",0.2,1
"14",0.2,1
"15",0.2,0.99875
"16",0.2,1
"17",0.2,1
"18",0.2,1
"19",0.2,1
"20",0.2,1
"21",0.2,1
"22",0.2,1
"23",0.2,0.9925
"24",0.2,0.99125
"25",0.2,0.99875
"26",0.2,1
"27",0.2,1
"28",0.2,0.9975
"29",0.2,1
"30",0.2,1
"31",0.2,1
"32",0.2,1
"33",0.2,1
"34",0.2,1
"35",0.2,1
"36",0.2,1
"37",0.2,1
"38",0.2,1
"39",0.2,1
"40",0.2,1
"41",0.2,1
"42",0.2,0.98125
"43",0.2,1
"44",0.2,0.9975
"45",0.2,1
"46",0.2,1
"47",0.2,1
"48",0.2,1
"49",0.2,1
"50",0.2,1
"51",0.4,0.99125
"52",0.4,0.99875
"53",0.4,0.99625
"54",0.4,0.635
"55",0.4,1
"56",0.4,1
"57",0.4,0.99375
"58",0.4,0.985
"59",0.4,0.99375
"60",0.4,0.9975
"61",0.4,1
"62",0.4,0.99625
"63",0.4,1
"64",0.4,1
"65",0.4,0.99375
"66",0.4,1
"67",0.4,0.97875
"68",0.4,1
"69",0.4,1
"70",0.4,0.980625
"71",0.4,0.99875
"72",0.4,0.9925
"73",0.4,0.98625
"74",0.4,0.99625
"75",0.4,0.975625
"76",0.4,0.935
"77",0.4,0.9975
"78",0.4,0.99625
"79",0.4,1
"80",0.4,0.995
"81",0.4,1
"82",0.4,1
"83",0.4,1
"84",0.4,0.9825
"85",0.4,0.9975
"86",0.4,0.98625
"87",0.4,0.99625
"88",0.4,0.9975
"89",0.4,0.985625
"90",0.4,0.99875
"91",0.4,0.99
"92",0.4,0.978125
"93",0.4,0.9975
"94",0.4,1
"95",0.4,0.99625
"96",0.4,1
"97",0.4,1
"98",0.4,0.98875
"99",0.4,0.99375
"100",0.4,0.9975
"101",0.6,0.9975
"102",0.6,0.99125
"103",0.6,1
"104",0.6,0.9
